,ID,Start Time,End Time,Bike ID,Duration,From Station ID,To Station ID,User Type,Gender,Birth Year,To Station Name,From Station Name,End Latitude,End Longitude,Start Latitude,Start Longitude,Bike Type
202108-divvy-tripdata.csv,0,0,0,,,88458,94115,0,,,94115,88458,706,706,0,0,0
Divvy_Trips_2018_Q4.csv,0,0,0,0,0,0,0,0,48382,46166,0,0,,,,,
202007-divvy-tripdata.csv,0,0,0,,,152,969,0,,,967,149,770,770,0,0,0
202008-divvy-tripdata.csv,0,0,0,,,7691,10110,0,,,10035,7595,938,938,0,0,0
Divvy_Trips_2017_Q2.csv,0,0,0,0,0,0,0,0,275488,275386,0,0,,,,,
Divvy_Trips_2016_Q1.csv,0,0,0,0,0,0,0,0,42043,42013,0,0,,,,,
202005-divvy-tripdata.csv,0,0,0,,,0,321,0,,,321,0,321,321,0,0,0
202010-divvy-tripdata.csv,0,0,0,,,31405,35787,0,,,35631,31198,474,474,0,0,0
Divvy_Trips_2014-Q3-0809.csv,0,0,0,0,0,0,0,0,249103,249090,0,0,,,,,
Divvy_Trips_2016_Q4.csv,0,0,0,0,0,0,0,0,109255,109220,0,0,,,,,
202110-divvy-tripdata.csv,0,0,0,,,108210,114834,0,,,114834,108210,484,484,0,0,0
Divvy_Trips_2014-Q4.csv,0,0,0,0,0,0,0,0,69589,69554,0,0,,,,,
202006-divvy-tripdata.csv,0,0,0,,,0,468,0,,,468,0,468,468,0,0,0
Divvy_Trips_2013.csv,0,0,0,0,0,0,0,0,356742,356879,0,0,,,,,
Divvy_Trips_2019_Q4.csv,0,0,0,0,0,0,0,0,66591,61681,0,0,,,,,
Divvy_Trips_2015_08.csv,0,0,0,0,0,0,0,0,166089,166072,0,0,,,,,
Divvy_Trips_2019_Q3.csv,0,0,0,0,0,0,0,0,287350,278094,0,0,,,,,
202109-divvy-tripdata.csv,0,0,0,,,93111,99261,0,,,99261,93113,595,595,0,0,0
Divvy_Trips_2015_07.csv,0,0,0,0,0,0,0,0,218082,218080,0,0,,,,,
202106-divvy-tripdata.csv,0,0,0,,,80093,86387,0,,,86387,80093,717,717,0,0,0
202112-divvy-tripdata.csv,0,0,0,,,51063,53498,0,,,53498,51063,144,144,0,0,0
202004-divvy-tripdata.csv,0,0,0,,,0,99,0,,,99,0,99,99,0,0,0
Divvy_Trips_2019_Q1.csv,0,0,0,0,0,0,0,0,19711,18023,0,0,,,,,
Divvy_Trips_2018_Q3.csv,0,0,0,0,0,0,0,0,294996,291580,0,0,,,,,
Divvy_Trips_2015-Q2.csv,0,0,0,0,0,0,0,0,301337,301325,0,0,,,,,
202107-divvy-tripdata.csv,0,0,0,,,87262,93158,0,,,93158,87263,731,731,0,0,0
202105-divvy-tripdata.csv,0,0,0,,,53744,58194,0,,,58194,53744,452,452,0,0,0
Divvy_Trips_2016_05.csv,0,0,0,0,0,0,0,0,103540,103511,0,0,,,,,
Divvy_Trips_2018_Q2.csv,0,0,0,0,0,0,0,0,196634,195141,0,0,,,,,
202104-divvy-tripdata.csv,0,0,0,,,26056,28174,0,,,28174,26056,267,267,0,0,0
202012-divvy-tripdata.csv,0,0,0,,,11699,13237,0,,,13237,11699,111,111,0,0,0
Divvy_Trips_2014_Q1Q2.csv,0,0,0,0,0,0,0,0,314022,313977,0,0,,,,,
Divvy_Trips_2019_Q2.csv,0,0,0,0,0,0,0,0,185554,180953,0,0,,,,,
Divvy_Trips_2018_Q1.csv,0,0,0,0,0,0,0,0,22493,22322,0,0,,,,,
202011-divvy-tripdata.csv,0,0,0,,,24434,26826,0,,,26749,24324,284,284,0,0,0
Divvy_Trips_2015_Q4.csv,0,0,0,0,0,0,0,0,92409,92353,0,0,,,,,
202009-divvy-tripdata.csv,0,0,0,,,19901,23524,0,,,23373,19691,789,789,0,0,0
202103-divvy-tripdata.csv,0,0,0,,,14848,16727,0,,,16727,14848,167,167,0,0,0
Divvy_Trips_2016_06.csv,0,0,0,0,0,0,0,0,127974,127909,0,0,,,,,
Divvy_Trips_2016_04.csv,0,0,0,0,0,0,0,0,49418,49392,0,0,,,,,
202101-divvy-tripdata.csv,0,0,0,,,8625,10277,0,,,10277,8625,103,103,0,0,0
Divvy_Trips_2020_Q1.csv,0,0,0,,,0,1,0,,,1,0,1,1,0,0,0
202201-divvy-tripdata.csv,0,0,0,,,16260,17927,0,,,17927,16260,86,86,0,0,0
Divvy_Trips_2015-Q1.csv,0,0,0,0,0,0,0,0,24491,24491,0,0,,,,,
Divvy_Trips_2017_Q1.csv,0,0,0,0,0,0,0,0,41379,41297,0,0,,,,,
Divvy_Trips_2014-Q3-07.csv,0,0,0,0,0,0,0,0,158566,158595,0,0,,,,,
Divvy_Trips_2016_Q3.csv,0,0,0,0,0,0,0,0,426199,426080,0,0,,,,,
Divvy_Trips_2017_Q4.csv,0,0,0,0,0,0,0,0,78580,78827,0,0,,,,,
Divvy_Trips_2017_Q3.csv,0,0,0,0,0,0,0,0,441380,441248,0,0,,,,,
Divvy_Trips_2015_09.csv,0,0,0,0,0,0,0,0,127563,127534,0,0,,,,,
202102-divvy-tripdata.csv,0,0,0,,,4046,5358,0,,,5358,4046,214,214,0,0,0
202111-divvy-tripdata.csv,0,0,0,,,75290,79187,0,,,79187,75290,191,191,0,0,0
